2024-10-16 19:17:44,766 | INFO | root | Добавлено слово будущее: будущее, количество: 1
2024-10-16 19:17:44,833 | INFO | root | Добавлена связь Word (2184) - Image ([89]): , (<Word_Image: 2246>, True)
2024-10-16 19:17:44,833 | INFO | root | Добавлено слово абстракция: абстракция, количество: 1
2024-10-16 19:17:44,900 | INFO | root | Добавлена связь Word (2185) - Image ([92]): , (<Word_Image: 2247>, True)
2024-10-16 19:17:44,900 | INFO | root | Добавлено слово все: все, количество: 1
2024-10-16 19:17:44,967 | INFO | root | Добавлена связь Word (2186) - Image ([92]): , (<Word_Image: 2248>, True)
2024-10-16 19:17:44,967 | INFO | root | Добавлено слово остальное: остальное, количество: 1
2024-10-16 19:17:45,033 | INFO | root | Добавлена связь Word (2187) - Image ([92]): , (<Word_Image: 2249>, True)
2024-10-16 19:17:45,033 | INFO | root | Добавлено слово синим: синим, количество: 1
2024-10-16 19:17:45,034 | INFO | tortoise | Tortoise-ORM shutdown
2024-10-16 19:17:45,034 | INFO | root | Функция fill_in_table_words("TortoiseORM") выполнялась: 0:00:08.783092
2024-10-16 19:20:58,916 | INFO | root | Удалены все Word: (256, {'KandiGen.Word_image': 147, 'KandiGen.Word': 109})
2024-10-16 19:20:58,983 | INFO | root | Добавлена связь Word (все) - Image ([92]): None
2024-10-16 19:20:58,983 | INFO | root | Добавлено слово все: все, количество: 1
2024-10-16 19:20:59,041 | INFO | root | Добавлена связь Word (остальное) - Image ([92]): None
2024-10-16 19:20:59,041 | INFO | root | Добавлено слово остальное: остальное, количество: 1
2024-10-16 19:20:59,100 | INFO | root | Добавлена связь Word (синим) - Image ([92]): None
2024-10-16 19:20:59,100 | INFO | root | Добавлено слово синим: синим, количество: 1
2024-10-16 19:20:59,159 | INFO | root | Добавлена связь Word (абстракция) - Image ([89]): None
2024-10-16 19:20:59,159 | INFO | root | Добавлено слово абстракция: абстракция, количество: 1
2024-10-16 19:20:59,217 | INFO | root | Добавлена связь Word (в) - Image ([89, 81, 66, 57, 47, 46, 39, 39, 37, 17, 14]): None
2024-10-16 19:20:59,217 | INFO | root | Добавлено слово в: в, количество: 11
2024-10-16 19:20:59,276 | INFO | root | Добавлена связь Word (программировании) - Image ([89, 81, 66, 57]): None
2024-10-16 19:20:59,276 | INFO | root | Добавлено слово программировании: программировании, количество: 4
2024-10-16 19:20:59,335 | INFO | root | Добавлена связь Word (мегакрутой) - Image ([88, 48]): None
2024-10-16 19:20:59,335 | INFO | root | Добавлено слово мегакрутой: мегакрутой, количество: 2
2024-10-16 19:20:59,393 | INFO | root | Добавлена связь Word (программист) - Image ([88, 84, 48]): None
2024-10-16 19:20:59,393 | INFO | root | Добавлено слово программист: программист, количество: 3
2024-10-16 19:20:59,452 | INFO | root | Добавлена связь Word (светлое) - Image ([86]): None
2024-10-16 19:20:59,452 | INFO | root | Добавлено слово светлое: светлое, количество: 1
2024-10-16 19:20:59,510 | INFO | root | Добавлена связь Word (будущее) - Image ([86]): None
2024-10-16 19:20:59,510 | INFO | root | Добавлено слово будущее: будущее, количество: 1
2024-10-16 19:20:59,569 | INFO | root | Добавлена связь Word (за) - Image ([84, 51]): None
2024-10-16 19:20:59,569 | INFO | root | Добавлено слово за: за, количество: 2
2024-10-16 19:20:59,627 | INFO | root | Добавлена связь Word (работой) - Image ([84]): None
2024-10-16 19:20:59,627 | INFO | root | Добавлено слово работой: работой, количество: 1
2024-10-16 19:20:59,686 | INFO | root | Добавлена связь Word (инкапсуляция) - Image ([81, 52, 42]): None
2024-10-16 19:20:59,686 | INFO | root | Добавлено слово инкапсуляция: инкапсуляция, количество: 3
2024-10-16 19:20:59,744 | INFO | root | Добавлена связь Word (бражник) - Image ([80]): None
2024-10-16 19:20:59,744 | INFO | root | Добавлено слово бражник: бражник, количество: 1
2024-10-16 19:20:59,803 | INFO | root | Добавлена связь Word (багажник) - Image ([79, 78]): None
2024-10-16 19:20:59,803 | INFO | root | Добавлено слово багажник: багажник, количество: 2
2024-10-16 19:20:59,861 | INFO | root | Добавлена связь Word (автомобиля) - Image ([79]): None
2024-10-16 19:20:59,861 | INFO | root | Добавлено слово автомобиля: автомобиля, количество: 1
2024-10-16 19:20:59,920 | INFO | root | Добавлена связь Word (картинка) - Image ([72, 68]): None
2024-10-16 19:20:59,920 | INFO | root | Добавлено слово картинка: картинка, количество: 2
2024-10-16 19:20:59,978 | INFO | root | Добавлена связь Word (которую) - Image ([72]): None
2024-10-16 19:20:59,978 | INFO | root | Добавлено слово которую: которую, количество: 1
2024-10-16 19:21:00,037 | INFO | root | Добавлена связь Word (очень) - Image ([72, 18, 15, 14]): None
2024-10-16 19:21:00,037 | INFO | root | Добавлено слово очень: очень, количество: 4
